Homology group node id,class,Genome 1,Genome 2,Genome 3,Genome 4
651004,core & single copy orthologous,1,1,1,1
651005,core & single copy orthologous,1,1,1,1
651006,core & single copy orthologous,1,1,1,1
651007,core & single copy orthologous,1,1,1,1
651011,core & single copy orthologous,1,1,1,1
651012,core & single copy orthologous,1,1,1,1
651013,core & single copy orthologous,1,1,1,1
651014,core & single copy orthologous,1,1,1,1
651015,core & single copy orthologous,1,1,1,1
651016,core & single copy orthologous,1,1,1,1
651017,core & single copy orthologous,1,1,1,1
651018,core & single copy orthologous,1,1,1,1
651024,core,2,2,1,2
651025,core & single copy orthologous,1,1,1,1
651026,core & single copy orthologous,1,1,1,1
651027,core & single copy orthologous,1,1,1,1
651028,core & single copy orthologous,1,1,1,1
651029,core & single copy orthologous,1,1,1,1
651030,core & single copy orthologous,1,1,1,1
651031,core & single copy orthologous,1,1,1,1
651032,core & single copy orthologous,1,1,1,1
651033,core & single copy orthologous,1,1,1,1
651034,core,1,2,1,1
651035,core & single copy orthologous,1,1,1,1
651036,core & single copy orthologous,1,1,1,1
651037,core & single copy orthologous,1,1,1,1
651042,core,1,2,1,1
651043,core & single copy orthologous,1,1,1,1
651044,core & single copy orthologous,1,1,1,1
651045,core & single copy orthologous,1,1,1,1
651046,core & single copy orthologous,1,1,1,1
651047,core & single copy orthologous,1,1,1,1
651048,core & single copy orthologous,1,1,1,1
651050,core & single copy orthologous,1,1,1,1
651052,core & single copy orthologous,1,1,1,1
651062,core & single copy orthologous,1,1,1,1
651063,core & single copy orthologous,1,1,1,1
651064,core & single copy orthologous,1,1,1,1
651065,core & single copy orthologous,1,1,1,1
651066,core & single copy orthologous,1,1,1,1
651069,core & single copy orthologous,1,1,1,1
651070,core & single copy orthologous,1,1,1,1
651071,core & single copy orthologous,1,1,1,1
651072,core & single copy orthologous,1,1,1,1
651073,core & single copy orthologous,1,1,1,1
651074,core & single copy orthologous,1,1,1,1
651075,core & single copy orthologous,1,1,1,1
651076,core & single copy orthologous,1,1,1,1
651077,core & single copy orthologous,1,1,1,1
651078,core & single copy orthologous,1,1,1,1
651079,core & single copy orthologous,1,1,1,1
651080,core,2,2,1,2
651081,core & single copy orthologous,1,1,1,1
651082,core & single copy orthologous,1,1,1,1
651083,core & single copy orthologous,1,1,1,1
