homology_group,1,2,3,4
35348585,1,1,1,1
35348586,1,0,1,1
35348587,1,0,1,1
35348588,1,1,1,1
35348589,1,0,1,1
35348590,1,0,1,1
35348591,1,0,1,1
35348592,1,1,1,1
35348593,1,0,1,1
35348594,1,1,1,1
35348595,1,1,1,1
35348596,1,1,1,1
35348597,1,1,1,1
35348598,1,1,1,1
35348599,0,0,1,1
35348600,1,0,0,0
35348601,0,1,0,1
35348602,1,0,1,1
35348603,0,1,1,1
35348604,0,1,0,1
35348605,1,0,0,1
35348606,1,1,1,1
35348607,1,1,1,1
35348608,1,1,1,1
35348609,1,1,1,1
35348610,1,0,1,1
35348611,1,0,1,1
35348612,1,0,1,1
35348613,1,1,1,1
35348614,1,1,1,1
35348615,0,0,0,1
35348616,0,1,0,0
35348617,0,0,1,0
35348618,1,0,1,1
35348619,1,0,0,0
35348620,1,0,1,1
35348621,1,0,1,1
35348622,1,0,0,0
35348623,1,0,1,1
35348624,1,0,0,1
35348625,1,0,0,0
35348626,1,1,0,1
35348627,1,0,0,0
35348628,1,1,0,0
35348629,1,0,0,0
35348630,1,1,0,0
35348631,1,1,0,0
35348632,1,0,0,1
35348633,1,0,0,1
35348634,1,0,0,0
35348635,1,0,0,0
35348636,1,0,0,0
35348637,1,0,0,0
35348638,1,1,0,0
35348639,1,0,0,0
35348640,1,0,0,0
35348641,1,1,1,0
35348642,1,1,1,1
35348643,1,1,0,0
35348644,1,1,1,1
35348645,0,0,1,0
35348646,0,0,0,1
35348647,1,0,0,1
35348648,1,1,1,0
35348649,1,1,1,0
35348650,1,0,0,0
35348651,1,0,0,0
35348652,1,0,0,0
35348653,1,0,0,0
35348654,1,0,0,0
35348655,1,0,0,0
35348656,1,1,0,0
35348657,1,0,0,0
35348658,1,0,0,0
35348659,1,1,0,0
35348660,1,0,0,0
35348661,1,0,0,0
35348662,0,1,0,0
35348663,1,0,0,0
35348664,1,1,0,0
35348665,1,1,0,0
35348666,1,1,0,0
35348667,0,1,0,0
35348668,1,0,0,0
35348669,1,1,0,0
35348670,1,1,0,0
35348671,1,1,0,0
35348672,1,1,0,0
35348673,1,0,0,0
35348674,1,0,0,0
35348675,1,1,0,0
35348676,1,1,0,0
35348677,0,1,0,0
35348678,1,0,0,0
35348679,1,0,0,0
35348680,0,1,0,0
35348681,1,0,0,0
35348682,1,0,0,0
35348683,1,0,0,0
35348684,1,0,0,0
35348685,1,1,0,0
35348686,1,0,0,0
35348687,1,1,1,1
35348688,1,0,0,0
35348689,1,0,1,1
35348690,1,0,0,0
35348691,1,0,0,0
35348692,1,0,0,1
35348693,0,1,1,0
35348694,1,0,0,0
35348695,1,1,0,1
35348696,1,0,0,0
35348697,1,0,0,0
35348698,1,0,0,0
35348699,1,0,0,0
35348700,1,0,0,0
35348701,1,1,1,1
35348702,1,0,0,0
35348703,1,1,0,1
35348704,1,0,1,0
35348705,1,0,0,0
35348706,1,1,1,1
35348707,1,0,0,0
35348708,1,1,0,0
35348709,1,0,0,0
35348710,1,1,1,0
35348711,1,1,0,0
35348712,1,0,0,0
35348713,1,0,0,0
35348714,1,0,0,0
35348715,1,1,1,1
35348716,1,1,0,0
35348717,1,1,0,0
35348718,1,0,0,0
35348719,0,0,0,1
35348720,0,0,0,1
35348721,0,0,1,0
35348722,0,0,1,0
35348723,0,1,0,0
35348724,0,1,0,0
35348725,0,1,0,0
35348726,1,0,0,0
35348727,1,0,0,0
35348728,1,0,0,0
35348729,1,0,0,0
35348730,1,0,0,0
35348731,1,0,0,0
35348732,1,0,0,0
35348733,1,0,0,0
35348734,1,0,0,0
35348735,1,0,0,0
35348736,1,0,0,0
35348737,1,0,0,0
35348738,1,0,0,0
35348739,1,1,0,1
35348740,1,0,0,0
35348741,1,0,0,0
35348742,1,0,0,0
35348743,1,0,0,0
35348744,1,0,0,0
35348745,1,0,0,0
35348746,1,0,0,0
35348747,1,0,0,0
35348748,1,0,0,0
35348749,1,1,0,0
35348750,1,0,0,0
35348751,1,0,0,0
35348752,1,0,0,0
35348753,1,0,0,0
35348754,1,0,0,0
35348755,1,0,0,0
35348756,1,0,0,0
35348757,1,0,0,0
35348758,1,0,0,0
35348759,1,0,0,0
35348760,1,0,0,0
35348761,1,0,0,0
35348762,1,0,0,0
35348763,1,0,0,0
35348764,1,0,0,0
35348765,1,0,0,0
35348766,1,0,0,0
35348767,1,0,0,0
35348768,1,0,0,0
35348769,1,1,0,0
35348770,1,1,0,0
35348771,1,0,0,1
35348772,1,1,0,0
35348773,0,1,0,0
35348774,1,0,0,0
35348775,1,0,0,0
35348776,1,0,0,0
35348777,1,0,0,0
35348778,1,0,0,0
35348779,1,1,1,1
35348780,1,1,1,1
35348781,1,0,1,0
35348782,1,0,0,0
35348783,1,1,1,1
35348784,1,0,0,0
35348785,1,1,1,1
35348786,1,1,1,1
35348787,1,1,1,1
35348788,1,0,0,0
35348789,1,0,0,0
35348790,1,1,1,1
35348791,1,1,1,1
35348792,1,1,1,1
35348793,1,1,1,1
35348794,1,1,1,1
35348795,1,1,1,1
35348796,1,0,1,0
35348797,1,0,0,0
35348798,1,1,1,1
35348799,1,1,1,1
35348800,1,0,0,0
35348801,1,0,0,0
35348802,1,1,1,1
35348803,1,1,1,1
35348804,1,0,0,1
35348805,1,0,0,1
35348806,1,0,0,0
35348807,1,0,0,0
35348808,0,0,0,1
35348809,1,0,1,0
35348810,1,0,0,0
35348811,1,0,0,0
35348812,1,1,1,1
35348813,1,1,1,1
35348814,1,0,0,0
35348815,1,1,1,1
35348816,1,1,1,1
35348817,1,1,1,1
35348818,1,0,0,0
35348819,1,1,1,1
35348820,1,1,1,1
35348821,1,0,1,1
35348822,0,1,0,0
35348823,1,1,1,1
35348824,1,0,0,0
35348825,1,0,0,0
35348826,1,0,0,0
35348827,1,1,1,1
35348828,0,0,0,1
35348829,0,0,0,1
35348830,1,0,0,0
35348831,1,0,0,0
35348832,0,1,0,0
35348833,0,1,0,0
35348834,1,1,1,1
35348835,1,1,1,1
35348836,1,1,1,1
35348837,0,1,1,1
35348838,0,1,1,1
35348839,1,0,0,0
35348840,1,0,1,1
35348841,1,1,1,1
35348842,1,1,1,1
35348843,1,0,0,0
35348844,1,0,0,0
35348845,1,0,0,0
35348846,1,1,1,1
35348847,1,0,1,1
35348848,1,1,1,1
35348849,0,1,1,1
35348850,1,1,0,1
35348851,0,0,1,1
35348852,1,0,0,0
35348853,0,0,0,1
35348854,0,1,0,0
35348855,1,0,0,0
35348856,0,0,1,0
35348857,0,0,0,1
35348858,0,1,0,0
35348859,0,1,0,0
35348860,0,0,1,0
35348861,1,1,1,1
35348862,1,1,1,1
35348863,1,1,1,1
35348864,1,1,1,1
35348865,1,1,1,1
35348866,0,1,1,1
35348867,1,1,1,0
35348868,1,1,1,0
35348869,1,0,0,0
35348870,0,0,0,1
35348871,1,1,0,0
35348872,1,1,1,1
35348873,1,1,1,1
35348874,1,1,1,1
35348875,1,1,1,1
35348876,1,1,1,1
35348877,1,1,1,1
35348878,1,0,0,0
35348879,1,0,0,0
35348880,1,1,1,1
35348881,1,1,1,1
35348882,1,1,1,1
35348883,1,1,1,1
35348884,1,1,1,1
35348885,1,1,1,1
35348886,1,1,1,1
35348887,1,1,1,1
35348888,1,1,1,1
35348889,1,1,1,1
35348890,1,1,1,1
35348891,1,0,0,0
35348892,1,0,1,0
35348893,1,1,1,0
35348894,1,1,1,1
35348895,1,1,1,1
35348896,1,1,1,1
35348897,1,0,0,0
35348898,1,1,1,1
35348899,0,1,1,0
35348900,1,0,0,0
35348901,0,0,0,1
35348902,1,1,1,1
35348903,1,1,1,1
35348904,1,1,0,1
35348905,1,0,1,0
35348906,1,1,0,0
35348907,1,1,1,1
35348908,1,0,0,0
35348909,1,1,1,1
35348910,1,1,1,1
35348911,1,1,1,1
35348912,0,1,0,0
35348913,0,0,1,0
35348914,0,0,0,1
35348915,1,1,1,1
35348916,1,1,1,1
35348917,1,1,1,1
35348918,1,1,1,1
35348919,1,1,1,1
35348920,1,1,1,1
35348921,1,1,1,1
35348922,1,1,1,1
35348923,1,1,1,1
35348924,1,0,0,0
35348925,1,1,1,1
35348926,1,0,1,1
35348927,1,1,1,1
35348928,1,1,1,1
35348929,1,1,1,1
35348930,1,1,1,1
35348931,1,1,1,1
35348932,1,1,1,1
35348933,1,1,1,1
35348934,1,0,0,0
35348935,0,0,1,0
35348936,0,1,0,0
35348937,0,0,0,1
35348938,1,1,1,1
35348939,1,1,0,1
35348940,1,0,1,0
35348941,0,1,0,1
35348942,1,0,1,0
35348943,1,1,1,1
35348944,1,1,1,1
35348945,1,1,1,1
35348946,1,1,1,1
