#Please be aware that not every genome will have a gene in accessory groups
Homology group,Class,Genome number,Number of copies,Genome 1,Genome 2,Genome 3,Genome 4
35348176,accessory,3,1,,1,,,
35348176,accessory,4,1,,1,,,
35348177,core,1,2,,1,,1,
35348177,core,3,2,,1,,1,
35348178,accessory,1,1,,1,,1,
35348178,accessory,3,1,,1,,1,
35348179,core,1,3,,1,,,
35348179,core,3,3,,1,,,
35348179,core,4,3,,1,,,
35348180,accessory,1,1,,1,,,
35348180,accessory,3,1,,1,,,
35348180,accessory,4,1,,1,,,
35348182,accessory,1,1,,1,,,
35348182,accessory,3,1,,1,,,
35348182,accessory,4,1,,1,,,
35348183,core,3,6,3,1,,,
35348183,core,4,6,3,1,,,
35348184,core,1,2,,1,,,
35348184,core,3,2,,1,,,
35348184,core,4,2,,1,,,
35348187,accessory,1,1,,1,,,
35348187,accessory,3,1,,1,,,
35348187,accessory,4,1,,1,,,
35348188,accessory,1,1,,1,,,
35348188,accessory,3,1,,1,,,
35348188,accessory,4,1,,1,,,
35348190,accessory,1,1,,1,,,
35348190,accessory,3,1,,1,,,
35348190,accessory,4,1,,1,,,
35348191,accessory,2,1,1,,,1,
35348191,accessory,3,1,1,,,1,
35348193,accessory,1,1,,1,,,
35348193,accessory,3,1,,1,,,
35348193,accessory,4,1,,1,,,
35348194,accessory,1,1,,1,,,
35348194,accessory,3,1,,1,,,
35348194,accessory,4,1,,1,,,
35348196,core,1,3,,2,,2,
35348196,core,3,3,,2,,2,
35348197,accessory,1,2,,1,2,1,
35348198,accessory,1,1,,1,,,
35348198,accessory,3,1,,1,,,
35348198,accessory,4,1,,1,,,
35348200,accessory,1,1,,1,,,
35348200,accessory,3,1,,1,,,
35348200,accessory,4,1,,1,,,
35348202,accessory,1,1,,1,,,
35348202,accessory,3,1,,1,,,
35348202,accessory,4,1,,1,,,
35348203,accessory,1,1,,1,,,
35348203,accessory,3,1,,1,,,
35348203,accessory,4,1,,1,,,
35348204,accessory,1,1,,1,,,
35348204,accessory,3,1,,1,,,
35348204,accessory,4,1,,1,,,
35348205,accessory,1,1,,1,,,
35348205,accessory,3,1,,1,,,
35348205,accessory,4,1,,1,,,
35348207,accessory,1,1,,1,,1,
35348207,accessory,3,1,,1,,1,
35348209,accessory,1,1,,1,,,
35348209,accessory,3,1,,1,,,
35348209,accessory,4,1,,1,,,
35348210,accessory,1,1,,1,,,
35348210,accessory,3,1,,1,,,
35348210,accessory,4,1,,1,,,
35348211,accessory,1,1,,1,,,
35348211,accessory,3,1,,1,,,
35348211,accessory,4,1,,1,,,
35348212,accessory,1,1,,1,,,
35348212,accessory,3,1,,1,,,
35348212,accessory,4,1,,1,,,
35348213,accessory,1,1,,1,,,
35348213,accessory,3,1,,1,,,
35348213,accessory,4,1,,1,,,
35348214,accessory,1,1,,1,,,
35348214,accessory,3,1,,1,,,
35348214,accessory,4,1,,1,,,
35348216,accessory,1,1,,1,,,
35348216,accessory,3,1,,1,,,
35348216,accessory,4,1,,1,,,
35348217,accessory,1,3,,3,2,1,
35348218,accessory,1,2,,2,1,1,
35348219,accessory,1,1,,1,1,,
35348219,accessory,4,1,,1,1,,
35348220,accessory,1,1,,1,,,
35348220,accessory,3,1,,1,,,
35348220,accessory,4,1,,1,,,
35348221,core,4,2,1,1,1,,
35348222,accessory,1,2,,2,1,1,
35348223,accessory,1,2,,2,1,2,
35348226,accessory,1,1,,1,,,
35348226,accessory,3,1,,1,,,
35348226,accessory,4,1,,1,,,
35348228,accessory,1,1,,1,,,
35348228,accessory,3,1,,1,,,
35348228,accessory,4,1,,1,,,
35348229,accessory,1,1,,1,,,
35348229,accessory,3,1,,1,,,
35348229,accessory,4,1,,1,,,
35348230,accessory,1,1,,1,,,
35348230,accessory,3,1,,1,,,
35348230,accessory,4,1,,1,,,
35348232,accessory,1,1,,1,,,
35348232,accessory,3,1,,1,,,
35348232,accessory,4,1,,1,,,
35348234,accessory,1,1,,1,,,
35348234,accessory,3,1,,1,,,
35348234,accessory,4,1,,1,,,
35348235,accessory,1,1,,1,,1,
35348235,accessory,3,1,,1,,1,
35348237,accessory,1,1,,1,,,
35348237,accessory,3,1,,1,,,
35348237,accessory,4,1,,1,,,
35348238,accessory,1,1,,1,,,
35348238,accessory,3,1,,1,,,
35348238,accessory,4,1,,1,,,
35348240,accessory,1,1,,1,,,
35348240,accessory,3,1,,1,,,
35348240,accessory,4,1,,1,,,
35348244,accessory,2,2,1,,1,2,
35348248,accessory,1,1,,1,,,
35348248,accessory,3,1,,1,,,
35348248,accessory,4,1,,1,,,
35348249,accessory,2,1,1,,1,,
35348249,accessory,4,1,1,,1,,
35348251,core,1,2,,1,,,
35348251,core,3,2,,1,,,
35348251,core,4,2,,1,,,
35348252,accessory,1,1,,1,,,
35348252,accessory,3,1,,1,,,
35348252,accessory,4,1,,1,,,
35348255,accessory,1,1,,1,,,
35348255,accessory,3,1,,1,,,
35348255,accessory,4,1,,1,,,
35348256,accessory,1,1,,1,,,
35348256,accessory,3,1,,1,,,
35348256,accessory,4,1,,1,,,
35348257,accessory,1,1,,1,,,
35348257,accessory,3,1,,1,,,
35348257,accessory,4,1,,1,,,
35348258,accessory,1,1,,,1,,
35348258,accessory,2,1,,,1,,
35348258,accessory,4,1,,,1,,
35348259,accessory,1,1,,1,,,
35348259,accessory,3,1,,1,,,
35348259,accessory,4,1,,1,,,
35348260,accessory,1,1,,1,,,
35348260,accessory,3,1,,1,,,
35348260,accessory,4,1,,1,,,
35348262,accessory,1,1,,1,,,
35348262,accessory,3,1,,1,,,
35348262,accessory,4,1,,1,,,
35348263,accessory,1,1,,1,,,
35348263,accessory,3,1,,1,,,
35348263,accessory,4,1,,1,,,
35348264,accessory,1,2,,2,1,1,
35348265,accessory,1,1,,1,,,
35348265,accessory,3,1,,1,,,
35348265,accessory,4,1,,1,,,
35348266,accessory,1,1,,1,,,
35348266,accessory,3,1,,1,,,
35348266,accessory,4,1,,1,,,
35348267,accessory,1,1,,1,,,
35348267,accessory,3,1,,1,,,
35348267,accessory,4,1,,1,,,
35348268,accessory,1,1,,1,,,
35348268,accessory,3,1,,1,,,
35348268,accessory,4,1,,1,,,
35348269,accessory,1,1,,1,,,
35348269,accessory,3,1,,1,,,
35348269,accessory,4,1,,1,,,
35348270,accessory,1,1,,1,,,
35348270,accessory,3,1,,1,,,
35348270,accessory,4,1,,1,,,
