homology_group,1,2,3,4
651508,1,1,1,1
651509,1,1,0,1
651510,1,1,1,1
651511,1,1,1,1
651512,1,0,0,0
651513,1,1,1,1
651514,1,1,1,1
651515,1,1,1,1
651516,1,1,1,1
651517,1,0,1,1
651518,1,1,1,1
651519,1,1,1,1
651520,1,1,1,1
651521,1,1,1,1
651522,1,1,1,1
651523,1,1,1,1
651524,1,1,1,1
651525,1,1,1,1
651526,1,1,1,1
651527,1,1,1,1
651528,1,1,1,1
651529,1,1,1,1
651530,1,1,1,1
651531,1,1,1,1
651532,1,1,1,1
651533,1,1,1,1
651534,1,1,1,1
651535,1,0,1,0
651536,1,1,0,1
651537,1,1,1,1
651538,0,0,1,1
651539,1,1,1,1
651540,1,1,1,1
651541,1,1,1,1
651542,1,1,1,1
651543,1,1,1,1
651544,1,1,1,1
651545,1,1,1,1
651546,1,1,1,1
651547,1,1,1,1
651548,1,1,1,1
651549,1,1,1,1
651550,1,0,0,0
651551,1,1,1,1
651552,1,1,1,1
651553,1,1,1,1
651554,1,1,1,1
651555,1,1,1,1
651556,1,1,1,1
651557,1,1,1,1
651558,1,1,1,1
651559,1,1,1,1
651560,0,0,0,1
651561,1,0,0,0
651562,0,0,1,0
651563,0,1,0,0
651564,1,0,1,1
651565,1,0,0,0
651566,0,1,0,0
651567,1,1,0,1
651568,1,1,0,1
651569,1,1,1,1
651570,1,1,1,1
651571,0,1,1,1
651572,1,1,1,1
651573,1,0,1,0
651574,1,0,0,0
651575,1,1,1,0
651576,1,1,1,1
651577,1,1,1,1
651578,1,1,1,1
651579,1,1,1,1
651580,1,1,1,1
651581,1,1,1,1
651582,1,1,1,0
651583,1,1,1,1
651584,1,1,1,1
651585,1,1,1,1
651586,1,1,1,1
651587,1,1,1,1
651588,1,1,1,1
651589,1,1,1,1
651590,1,1,1,1
651591,1,1,1,1
651592,1,1,1,1
651593,1,1,1,1
651594,1,1,0,0
651595,0,0,0,1
651596,0,1,0,0
651597,1,1,1,1
651598,1,0,0,0
651599,0,1,0,0
651600,0,0,0,1
651601,0,0,1,0
651602,1,0,0,0
651603,0,0,0,1
651604,0,0,1,0
651605,0,1,0,0
651606,1,1,1,1
651607,1,0,0,1
651608,1,1,1,1
651609,1,0,1,1
651610,1,1,1,1
651611,1,1,1,1
651612,1,1,1,1
651613,1,1,1,1
651614,1,1,1,1
651615,1,1,1,1
651616,1,1,1,1
651617,1,1,1,1
651618,1,1,1,1
651619,1,0,0,1
651620,0,1,1,0
651621,1,1,0,1
651622,1,1,0,1
651623,1,1,1,1
651624,1,1,0,1
651625,1,1,1,1
651626,1,0,0,0
651627,1,0,0,0
651628,1,1,1,1
651629,1,0,0,0
651630,1,1,1,1
651631,1,1,1,1
651632,1,1,1,1
651633,1,1,0,1
651634,1,0,0,1
651635,1,0,0,1
651636,1,1,1,1
651637,1,1,1,1
651638,1,1,1,1
651639,1,1,0,1
651640,1,1,1,1
651641,1,1,1,1
651642,1,1,1,1
651643,1,1,1,1
651644,1,1,1,1
651645,1,1,1,1
651646,1,1,1,1
651647,1,0,0,0
651648,0,0,1,0
651649,1,1,1,1
651650,1,1,1,1
651651,1,0,0,0
651652,1,0,0,0
651653,0,0,1,0
651654,1,1,1,1
651655,1,1,1,1
651656,1,1,1,1
651657,1,1,1,1
651658,1,1,1,1
651659,1,1,1,1
651660,1,1,1,1
