x,y,Category
11,20789,Core
9,130151,Total
11,116835,Dispensable
11,117283,Dispensable
5,99126,Total
8,22107,Core
8,112197,Total
6,106981,Total
8,94641,Dispensable
9,109776,Dispensable
7,89180,Dispensable
6,24514,Core
6,94207,Total
8,103400,Dispensable
6,68221,Dispensable
7,88709,Dispensable
5,24500,Core
7,105404,Total
12,142999,Total
4,82097,Total
7,83047,Dispensable
4,54371,Dispensable
5,74695,Dispensable
7,107498,Total
6,106103,Total
11,127760,Total
8,91133,Dispensable
5,25115,Core
5,24873,Core
8,116199,Total
7,74792,Dispensable
5,23385,Core
9,109876,Dispensable
6,23712,Core
6,102895,Total
10,105818,Dispensable
7,109267,Total
9,105732,Dispensable
9,111861,Total
6,68463,Dispensable
12,111857,Dispensable
11,119660,Total
9,126793,Total
9,95856,Dispensable
6,24327,Core
8,103631,Dispensable
9,23070,Core
4,80797,Total
11,131596,Total
7,83378,Dispensable
7,100718,Total
7,107355,Total
6,72181,Dispensable
8,113229,Total
7,22836,Core
5,97720,Total
7,118386,Total
9,107919,Dispensable
10,20592,Core
6,79071,Dispensable
6,95961,Total
7,118841,Total
9,23269,Core
10,127879,Total
5,24469,Core
6,106475,Total
8,118334,Total
6,79568,Dispensable
9,122196,Total
11,128108,Total
6,25014,Core
9,121367,Total
6,22971,Core
4,53812,Dispensable
8,114899,Total
5,24911,Core
6,25113,Core
11,128759,Total
10,127507,Total
11,111657,Dispensable
9,89178,Dispensable
7,101073,Total
10,133364,Total
6,75744,Dispensable
11,20457,Core
6,84208,Dispensable
9,100863,Dispensable
7,90217,Dispensable
7,25161,Core
8,22053,Core
9,100885,Dispensable
10,104056,Dispensable
9,22654,Core
11,115459,Dispensable
4,52658,Dispensable
5,61502,Dispensable
7,25344,Core
9,97591,Dispensable
10,132940,Total
10,125227,Total
10,112855,Dispensable
4,27859,Core
7,25385,Core
4,52161,Dispensable
8,79003,Dispensable
5,62083,Dispensable
7,77715,Dispensable
8,103642,Dispensable
3,27132,Core
13,146566,Total
7,74130,Dispensable
10,21690,Core
8,114756,Total
11,137353,Total
7,108337,Total
11,115106,Dispensable
9,129547,Total
4,54151,Dispensable
8,117687,Total
10,123139,Total
10,111259,Dispensable
11,106179,Dispensable
7,88323,Dispensable
5,86690,Total
11,111746,Dispensable
9,86961,Dispensable
10,102795,Dispensable
8,106321,Total
7,99501,Total
8,22610,Core
9,97680,Dispensable
8,94796,Dispensable
6,106907,Total
6,79126,Dispensable
7,119647,Total
4,81407,Total
6,77490,Dispensable
7,108108,Total
7,76208,Dispensable
8,114421,Total
11,20233,Core
3,83661,Total
7,111643,Total
8,102399,Dispensable
8,102388,Dispensable
11,137459,Total
3,27529,Core
5,25858,Core
7,108002,Total
5,99632,Total
8,90983,Dispensable
10,100729,Dispensable
6,102942,Total
6,25055,Core
10,21988,Core
5,95822,Total
6,103366,Total
7,118944,Total
6,25673,Core
7,23584,Core
6,70246,Dispensable
9,22940,Core
10,23005,Core
7,110661,Total
8,23110,Core
3,51521,Dispensable
7,78054,Dispensable
10,21448,Core
7,87169,Dispensable
